Postal Code,Neighborhood,Latitude,Longitude,Population,Pop Density,Income,Nbr venues,Pizza,Fast Food
M1B,"Malvern, Rouge",43.8066863,-79.1943534,66108,1955,60031.6666666667,1,11,15
M1C,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971,35626,2673,73646.6666666667,1,4,4
M1E,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,46943,3031,52642.6666666667,9,16,9
M1G,Woburn,43.7709921,-79.2169174,29690,3831,47908,2,7,1
M1H,Cedarbrae,43.773136,-79.2394761,24383,4578,47022,8,11,10
M1J,Scarborough Village,43.7447342,-79.2394761,36699,6304,47022,2,10,7
M1K,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,48434,5591,42373.5,6,12,6
M1L,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,35081,4238,42897.5,10,9,15
M1M,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.2394761,22913,2717,60384,2,9,3
M1N,"Birch Cliff, Cliffside West",43.692657,-79.2648481,22136,3857,57017,4,9,3
M1P,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.273304,45571,4026,47630,7,18,17
M1R,"Wexford, Maryvale",43.7500715,-79.2958491,29858,2975,53752,6,10,8
M1S,Agincourt,43.7942003,-79.2620294,37769,3121,55464,4,9,3
M1T,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,34588,5601,46095,13,1,8
M1V,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,54680,4313,55678.5,4,15,11
M1W,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,48471,6325,49769,15,5,6
M1X,Armdale,43.8199,-79.2434,15097,2205,93980,,2,0
M2H,Hillcrest Village,43.8037622,-79.3634517,24497,3675,59699,6,4,2
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,58293,5573,52990.3333333333,70,6,11
M2K,Bayview Village,43.7869473,-79.385975,23852,3501,58028,4,1,3
M2L,York Mills Silver Hills,43.7529003605322,-79.3808178682068,11717,2077,80145,,0,1
M2M,"Willowdale, Newtonbrook",43.789053,-79.4084928,32320,4514,54525,2,8,6
M2N,Willowdale South,43.7701199,-79.4084928,75897,7236,53897.5,33,23,20
M2P,York Mills West,43.7527583,-79.4000493,7843,3313,80145,2,0,1
M2R,Willowdale West,43.7827364,-79.4422593,40792,5633,42465,5,5,3
M3A,Parkwoods,43.7532586,-79.3296565,34615,5222,48146.5,3,2,1
M3B,Don Mills North,43.7459058,-79.352188,13324,2205,161448,6,9,5
M3C,Don Mills South,43.7258997,-79.340923,39153,4040,51857,21,1,3
M3H,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,37011,2460,52787,23,7,5
M3J,"Northwood Park, York University",43.7679803,-79.4872619,25473,2201,42916,9,15,14
M3K,Downsview East,43.7374732,-79.4647633,5997,2827,44087,5,4,5
M3L,Downsview West,43.7390146,-79.5069436,17339,2827,44488,6,4,5
M3M,Downsview Central,43.7284964,-79.4956974,24046,4899,44087,3,5,3
M3N,Downsview Northwest,43.7616313,-79.5209994,41958,6713,44488,4,7,4
M4A,Victoria Village,43.7258823,-79.3155716,14443,3539,43743,4,0,0
M4B,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,18628,4692,55071.5,10,7,2
M4C,Woodbine Heights,43.6953439,-79.3183887,46866,8918,59581.5,7,14,5
M4E,The Beaches,43.6763574,-79.2930312,25044,6802,63568,5,7,2
M4G,Leaside,43.7090604,-79.3634517,19076,2857,85039,33,11,6
M4H,Thorncliffe Park,43.7053689,-79.3493719,19688,15341,38645,21,3,4
M4J,The Danforth  East,43.685347,-79.3381065,35738,7856,56931.3333333333,4,19,4
M4K,"The Danforth West, Riverdale",43.6795571,-79.352188,31583,7624,54912,41,17,7
M4L,"India Bazaar, The Beaches West",43.6689985,-79.3155716,32640,7256,58056.5,20,13,8
M4M,Studio District,43.6595255,-79.340923,24689,2674,72277,36,14,9
M4N,Lawrence Park,43.7280205,-79.3887901,15330,3294,104351.5,3,8,5
M4P,Davisville North,43.7127511,-79.3901975,20039,9540,63267,10,9,12
M4R,North Toronto West,43.7153834,-79.4056784,11394,6668,105043,22,5,1
M4S,Davisville,43.7043244,-79.3887901,26506,9876,71154,33,16,3
M4T,"Moore Park, Summerhill East",43.6895743,-79.3831599,10463,5741,72915,3,3,5
M4V,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6864123,-79.4000493,18241,7409,66510,14,4,0
M4W,Rosedale,43.6795626,-79.3775294,14561,3369,72915,4,9,9
M4X,"St. James Town, Cabbagetown",43.667967,-79.3676753,20822,16261,41088.5,46,6,3
M4Y,Church and Wellesley,43.6658599,-79.3831599,30472,33921,44939.5,80,13,16
M5A,"Regent Park, Harbourfront",43.6542599,-79.3606359,41078,9997,34044.5,45,26,10
M5B,"Garden District, Ryerson",43.6571618,-79.3789371,12785,14900,50979,100,13,20
M5C,St. James Town,43.6514939,-79.3754179,2951,11010,80441,83,6,6
M5E,Berczy Park,43.6447708,-79.3733064,9118,12178,63104,59,9,3
M5G,Central Bay Street,43.6579524,-79.3873826,8423,5566,44614,61,8,7
M5H,"Richmond, Adelaide, King",43.6505712,-79.3845675,2005,4660,80441,92,14,9
M5J,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.3817523,14545,2546,57670,100,12,19
M5M,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,25975,5023,76160,23,6,4
M5N,Roselawn,43.7116948,-79.4169356,16610,6716,53978,1,1,0
M5P,Forest Hill North & West,43.6969476,-79.4113072,19423,6436,49252,4,4,2
M5R,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784,26496,9068,49912,20,12,4
M5S,"University of Toronto, Harbord",43.6626956,-79.4000493,15372,8988,45538,32,16,9
M5T,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,17748,12485,44536.5,64,25,11
M5V,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,49195,7913,59929,14,39,25
M6A,"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,21048,3596,47445,14,6,13
M6B,Glencairn,43.709577,-79.4450726,28522,5694,72576,4,8,2
M6C,Humewood-Cedarvale,43.6937813,-79.4281914,24596,7711,64736,4,26,5
M6E,Caledonia-Fairbanks,43.6890256,-79.453512,38041,8133,51972.2,4,17,7
M6G,Christie,43.669542,-79.4225637,32086,9093,51103.6666666667,16,26,9
M6H,"Dufferin, Dovercourt Village",43.6690051,-79.4422593,44950,9478,47671,14,23,7
M6J,"Little Portugal, Trinity",43.6479267,-79.4197497,32684,10942,69274,44,25,6
M6K,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914,40957,13911,47067,23,16,5
M6L,"North Park, Maple Leaf Park, Upwood Park",43.7137562,-79.4900738,20616,4536,44905.6666666667,4,2,5
M6M,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.4760133,42434,5368,41207,4,20,7
M6N,"Runnymede, The Junction North",43.6731853,-79.4872619,41243,5142,49388,4,8,12
M6P,"High Park, The Junction South",43.6616083,-79.4647633,40035,10280,83895,25,20,2
M6R,"Parkdale, Roncesvalles",43.6489597,-79.456325,19857,7756,44083,14,10,4
M6S,"Runnymede, Swansea",43.6515706,-79.4844499,34299,3971,75350.25,35,14,2
M8V,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.5013207,37975,4445,47946.3333333333,13,22,3
M8W,"Alderwood, Long Branch",43.6024137,-79.5434841,20674,2925,61402,8,7,1
M8X,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436,10787,3486,57658,3,10,2
M8Y,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.4985091,21299,3631,67549,2,4,0
M8Z,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.5209994,17038,2000,75301,13,12,9
M9A,West Mall Etobicoke,43.6639089455784,-79.5293690472467,35594,3550,62463,,9,0
M9B,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.5547244,32400,2452,93391,2,1,12
M9C,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.5772008,38291,2648,64297,12,12,14
M9L,Humber Summit,43.7563033,-79.5659633,11950,1803,53272,2,6,1
M9M,"Humberlea, Emery",43.7247659,-79.5322424,22263,3159,54248.5,2,8,4
M9N,Weston,43.706876,-79.5181884,25074,4936,82016,2,18,9
M9P,Westmount,43.696319,-79.5322424,20874,3575,52816.5,9,5,3
M9R,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.5547244,33743,4969,57048,2,4,4
M9V,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7394164,-79.5884369,55959,3760,52254,8,22,7
M9W,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",43.7067483,-79.5940544,40684,1562,54019.25,5,19,15
